transaction_id,user_id,amount,transaction_timestamp,product_id,category,payment_method,city,country,status,discount_pct,platform,pipeline_run_id
TXN124D7017,F41A9082,327.83,2024-01-21 06:28:00,PRD9936,Travel,UPI,Bangalore,India,failed,10,iOS,BOOTSTRAP_20240101_000000
TXN573C1C5E,DA5BCD00,4387.68,2024-10-14 03:06:00,PRD3353,Groceries,UPI,Delhi,India,success,0,Web,BOOTSTRAP_20240101_000000
TXN7B746AD2,6387E263,193.6,2024-06-06 21:04:00,PRD5713,Electronics,Wallet,Mumbai,India,success,10,Android,BOOTSTRAP_20240101_000000
TXNA0C35905,D4B7626E,4155.67,2024-09-03 05:56:00,PRD7111,Travel,Net Banking,Delhi,India,success,0,Web,BOOTSTRAP_20240101_000000
TXN36F92D94,3D3CE025,373.99,2024-12-22 22:15:00,PRD5855,Travel,Credit Card,Chennai,India,success,5,iOS,BOOTSTRAP_20240101_000000
TXN2FAA458F,F41A9082,4582.43,2024-09-05 08:27:00,PRD7706,Health,UPI,Bangalore,India,success,15,Web,BOOTSTRAP_20240101_000000
TXNB64FFE01,F41A9082,2480.24,2024-06-01 21:22:00,PRD4166,Fashion,Debit Card,Chennai,India,success,0,Android,BOOTSTRAP_20240101_000000
TXN368C6FD3,F41A9082,437.23,2024-09-07 00:33:00,PRD3742,Health,Net Banking,Delhi,India,success,10,Android,BOOTSTRAP_20240101_000000
TXNB76C0A03,D4B7626E,3316.9,2024-10-25 09:12:00,PRD2722,Groceries,Credit Card,Hyderabad,India,success,0,Android,BOOTSTRAP_20240101_000000
TXN81726791,DA5BCD00,4868.65,2024-10-10 06:48:00,PRD7466,Travel,UPI,Bangalore,India,success,0,iOS,BOOTSTRAP_20240101_000000
